tag,device,dtype,raw_min,raw_max,eng_min,eng_max,desc
SV_PT201_LL,%MW1035,WORD,0.0,16000.0,-100.0,100.0,소각로내압력  L.LOW SET
SV_PT301_HH,%MW1036,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 H.HIGH SET
SV_PT301_H,%MW1037,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 HIGH SET
SV_PT301_L,%MW1038,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 LOW SET
SV_PT301_LL,%MW1039,WORD,0.0,16000.0,0.0,35.0,폐열보일러압력 L.LOW SET
SV_PT401_HH,%MW1040,WORD,0.0,16000.0,0.0,15.0,공정수압력 H.HIGH SET
SV_PT401_H,%MW1041,WORD,0.0,16000.0,0.0,15.0,공정수압력 HIGH SET
SV_PT401_L,%MW1042,WORD,0.0,16000.0,0.0,15.0,공정수압력 LOW SET
SV_PT401_LL,%MW1043,WORD,0.0,16000.0,0.0,15.0,공정수압력 L.LOW SET
SV_PDIT401_HH,%MW1044,WORD,0.0,16000.0,0.0,300.0,백필터차압 H.HIGH SET
SV_PDIT401_H,%MW1045,WORD,0.0,16000.0,0.0,300.0,백필터차압 HIGH SET
SV_PDIT401_L,%MW1046,WORD,0.0,16000.0,0.0,300.0,백필터차압  LOW SET
SV_PDIT401_LL,%MW1047,WORD,0.0,16000.0,0.0,300.0,백필터차압 L.LOW SET
SV_LT401_HH,%MW1048,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 H.HIGH SET
SV_LT401_H,%MW1049,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 HIGH SET
SV_LT401_L,%MW1050,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 LOW SET
SV_LT401_LL,%MW1051,WORD,0.0,16000.0,0.0,100.0,소석회저장탱크레벨 L.LOW SET
SV_LT402_HH,%MW1052,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 H.HIGH SET
SV_LT402_H,%MW1053,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 HIGH SET
SV_LT402_L,%MW1054,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 LOW SET
SV_LT402_LL,%MW1055,WORD,0.0,16000.0,0.0,100.0,소석회혼합탱크레벨 L.LOW SET
SV_LT801_HH,%MW1056,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 H.HIGH SET
SV_LT801_H,%MW1057,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 HIGH SET
SV_LT801_L,%MW1058,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 LOW SET
SV_LT801_LL,%MW1059,WORD,0.0,16000.0,0.0,100.0,요소수저장탱크레벨 L.LOW SET
SV_LT601_HH,%MW1060,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 H.HIGH SET
SV_LT601_H,%MW1061,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 HIGH SET
SV_LT601_L,%MW1062,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 LOW SET
SV_LT601_LL,%MW1063,WORD,0.0,16000.0,0.0,100.0,경유저장탱크레벨 L.LOW SET
SV_LT301_HH,%MW1064,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 H.HIGH SET
SV_LT301_H,%MW1065,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 HIGH SET
SV_LT301_L,%MW1066,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 LOW SET
SV_LT301_LL,%MW1067,WORD,0.0,16000.0,0.0,100.0,폐열보일러수위레벨 L.LOW SET
SV_LT303_HH,%MW1068,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 H.HIGH SET
